display_name,provider,provider_id,territory_code,location_type,type_id,carbon_free_energy_percentage,containing_location_id,location_id
europe-north2,GCP,1,SE,REGION,1,100.0,,gcp-europe-north2
europe-north2-a,GCP,1,SE,ZONE,2,100.0,gcp-europe-north2,gcp-europe-north2-a
europe-north2-b,GCP,1,SE,ZONE,2,100.0,gcp-europe-north2,gcp-europe-north2-b
europe-north2-c,GCP,1,SE,ZONE,2,100.0,gcp-europe-north2,gcp-europe-north2-c
northamerica-northeast1,GCP,1,CA,REGION,1,99.0,,gcp-northamerica-northeast1
northamerica-northeast1-a,GCP,1,CA,ZONE,2,99.0,gcp-northamerica-northeast1,gcp-northamerica-northeast1-a
northamerica-northeast1-b,GCP,1,CA,ZONE,2,99.0,gcp-northamerica-northeast1,gcp-northamerica-northeast1-b
northamerica-northeast1-c,GCP,1,CA,ZONE,2,99.0,gcp-northamerica-northeast1,gcp-northamerica-northeast1-c
europe-north1,GCP,1,FI,REGION,1,98.0,,gcp-europe-north1
europe-north1-a,GCP,1,FI,ZONE,2,98.0,gcp-europe-north1,gcp-europe-north1-a
europe-north1-b,GCP,1,FI,ZONE,2,98.0,gcp-europe-north1,gcp-europe-north1-b
europe-north1-c,GCP,1,FI,ZONE,2,98.0,gcp-europe-north1,gcp-europe-north1-c
europe-west6,GCP,1,CH,REGION,1,98.0,,gcp-europe-west6
europe-west6-a,GCP,1,CH,ZONE,2,98.0,gcp-europe-west6,gcp-europe-west6-a
europe-west6-b,GCP,1,CH,ZONE,2,98.0,gcp-europe-west6,gcp-europe-west6-b
europe-west6-c,GCP,1,CH,ZONE,2,98.0,gcp-europe-west6,gcp-europe-west6-c
europe-west9,GCP,1,FR,REGION,1,96.0,,gcp-europe-west9
europe-west9-a,GCP,1,FR,ZONE,2,96.0,gcp-europe-west9,gcp-europe-west9-a
europe-west9-b,GCP,1,FR,ZONE,2,96.0,gcp-europe-west9,gcp-europe-west9-b
europe-west9-c,GCP,1,FR,ZONE,2,96.0,gcp-europe-west9,gcp-europe-west9-c
us-south1,GCP,1,US,REGION,1,94.0,,gcp-us-south1
us-south1-a,GCP,1,US,ZONE,2,94.0,gcp-us-south1,gcp-us-south1-a
us-south1-b,GCP,1,US,ZONE,2,94.0,gcp-us-south1,gcp-us-south1-b
us-south1-c,GCP,1,US,ZONE,2,94.0,gcp-us-south1,gcp-us-south1-c
southamerica-west1,GCP,1,CL,REGION,1,92.0,,gcp-southamerica-west1
southamerica-west1-a,GCP,1,CL,ZONE,2,92.0,gcp-southamerica-west1,gcp-southamerica-west1-a
southamerica-west1-b,GCP,1,CL,ZONE,2,92.0,gcp-southamerica-west1,gcp-southamerica-west1-b
southamerica-west1-c,GCP,1,CL,ZONE,2,92.0,gcp-southamerica-west1,gcp-southamerica-west1-c
southamerica-east1,GCP,1,BR,REGION,1,88.0,,gcp-southamerica-east1
southamerica-east1-a,GCP,1,BR,ZONE,2,88.0,gcp-southamerica-east1,gcp-southamerica-east1-a
southamerica-east1-b,GCP,1,BR,ZONE,2,88.0,gcp-southamerica-east1,gcp-southamerica-east1-b
southamerica-east1-c,GCP,1,BR,ZONE,2,88.0,gcp-southamerica-east1,gcp-southamerica-east1-c
europe-southwest1,GCP,1,ES,REGION,1,87.0,,gcp-europe-southwest1
europe-southwest1-a,GCP,1,ES,ZONE,2,87.0,gcp-europe-southwest1,gcp-europe-southwest1-a
europe-southwest1-b,GCP,1,ES,ZONE,2,87.0,gcp-europe-southwest1,gcp-europe-southwest1-b
europe-southwest1-c,GCP,1,ES,ZONE,2,87.0,gcp-europe-southwest1,gcp-europe-southwest1-c
us-central1,GCP,1,US,REGION,1,87.0,,gcp-us-central1
us-central1-a,GCP,1,US,ZONE,2,87.0,gcp-us-central1,gcp-us-central1-a
us-central1-b,GCP,1,US,ZONE,2,87.0,gcp-us-central1,gcp-us-central1-b
